# N             E       lndos(E)        epsilon     c_ges
256.000     -1256.800     -1692.740     -0.400     0.001
256.000     -1257.200     -1693.311     -0.400     0.001
256.000     -1257.600     -1693.912     -0.400     0.001
256.000     -1264.000     -1703.374     -0.400     0.001
256.000     -1263.600     -1702.799     -0.400     0.001
256.000     -1263.200     -1702.198     -0.400     0.001
256.000     -1262.800     -1701.603     -0.400     0.001
256.000     -1262.400     -1701.014     -0.400     0.001
256.000     -1262.000     -1700.419     -0.400     0.001
256.000     -1261.600     -1699.835     -0.400     0.001
256.000     -1264.800     -1704.544     -0.400     0.001
256.000     -1261.200     -1699.237     -0.400     0.001
256.000     -1260.400     -1698.055     -0.400     0.001
256.000     -1260.000     -1697.466     -0.400     0.001
256.000     -1259.600     -1696.856     -0.400     0.001
256.000     -1259.200     -1696.272     -0.400     0.001
256.000     -1258.800     -1695.681     -0.400     0.001
256.000     -1258.400     -1695.099     -0.400     0.001
256.000     -1258.000     -1694.488     -0.400     0.001
256.000     -1260.800     -1698.638     -0.400     0.001
256.000     -1311.600     -1774.388     -0.400     0.001
256.000     -1280.400     -1727.668     -0.400     0.001
256.000     -1281.200     -1728.826     -0.400     0.001
256.000     -1302.800     -1761.171     -0.400     0.001
256.000     -1302.400     -1760.569     -0.400     0.001
256.000     -1302.000     -1759.960     -0.400     0.001
256.000     -1301.600     -1759.358     -0.400     0.001
256.000     -1301.200     -1758.764     -0.400     0.001
256.000     -1300.800     -1758.168     -0.400     0.001
256.000     -1300.400     -1757.552     -0.400     0.001
256.000     -1300.000     -1756.955     -0.400     0.001
256.000     -1299.600     -1756.353     -0.400     0.001
256.000     -1299.200     -1755.756     -0.400     0.001
256.000     -1298.800     -1755.146     -0.400     0.001
256.000     -1298.400     -1754.542     -0.400     0.001
256.000     -1298.000     -1753.956     -0.400     0.001
256.000     -1297.600     -1753.369     -0.400     0.001
256.000     -1297.200     -1752.755     -0.400     0.001
256.000     -1303.200     -1761.761     -0.400     0.001
256.000     -1303.600     -1762.373     -0.400     0.001
256.000     -1304.000     -1762.958     -0.400     0.001
256.000     -1304.400     -1763.566     -0.400     0.001
256.000     -1310.800     -1773.188     -0.400     0.001
256.000     -1310.400     -1772.581     -0.400     0.001
256.000     -1310.000     -1771.984     -0.400     0.001
256.000     -1309.600     -1771.361     -0.400     0.001
256.000     -1309.200     -1770.774     -0.400     0.001
256.000     -1308.800     -1770.172     -0.400     0.001
256.000     -1308.400     -1769.571     -0.400     0.001
256.000     -1296.800     -1752.161     -0.400     0.001
256.000     -1308.000     -1768.967     -0.400     0.001
256.000     -1307.200     -1767.747     -0.400     0.001
256.000     -1306.800     -1767.144     -0.400     0.001
256.000     -1306.400     -1766.566     -0.400     0.001
256.000     -1306.000     -1765.973     -0.400     0.001
256.000     -1305.600     -1765.354     -0.400     0.001
256.000     -1305.200     -1764.770     -0.400     0.001
256.000     -1304.800     -1764.162     -0.400     0.001
256.000     -1307.600     -1768.352     -0.400     0.001
256.000     -1280.800     -1728.245     -0.400     0.001
256.000     -1296.400     -1751.565     -0.400     0.001
256.000     -1295.600     -1750.363     -0.400     0.001
256.000     -1287.200     -1737.766     -0.400     0.001
256.000     -1286.800     -1737.184     -0.400     0.001
256.000     -1286.400     -1736.568     -0.400     0.001
256.000     -1286.000     -1735.981     -0.400     0.001
256.000     -1285.600     -1735.390     -0.400     0.001
256.000     -1285.200     -1734.792     -0.400     0.001
256.000     -1284.800     -1734.196     -0.400     0.001
256.000     -1284.400     -1733.598     -0.400     0.001
256.000     -1284.000     -1733.002     -0.400     0.001
256.000     -1283.600     -1732.412     -0.400     0.001
256.000     -1283.200     -1731.825     -0.400     0.001
256.000     -1282.800     -1731.218     -0.400     0.001
256.000     -1282.400     -1730.620     -0.400     0.001
256.000     -1282.000     -1730.029     -0.400     0.001
